rowNumber,carrierName,contactName,portLabel,normalizedPortLabel,dbOfficeId,dbOfficeName,reviewReason,sourcesChecked,currentSuggestions
71,Aiyer Shipping,Deepanshu Pradeep Ajmera,Riyadh,RIYADH,26bffb4e-a33f-479e-bd32-45dbb0929246,Mumbai,"Official UN/LOCODE lists Riyadh as an airport location (SA RUH) and separately as Riyadh Dry Port (SA RYP), not as a seaport. Keep this out of automatic seaport mapping unless the business explicitly wants dry-port handling.",https://service.unece.org/trade/locode/sa.htm,[]
89,Aladin Express,Kamal Singh,Belde,BELDE,227f0df1-4996-4efd-b72f-ef649430735c,Mumbai,No clean official seaport match was confirmed from the sources checked. Keep unresolved until an explicit operational mapping is provided.,https://service.unece.org/trade/locode/lb.htm,[]
140,Benline,Sagar Bansode,Blantyre,BLANTYRE,e197bbaa-2f71-457c-b17e-4021db9496e7,Mumbai,"Official UN/LOCODE lists Blantyre as an airport-style inland location, not a seaport. Avoid forcing a seaport mapping for this workbook label.",https://service.unece.org/trade/locode/mw.htm,[]
143,Benline,Sagar Bansode,Christchurch,CHRISTCHURCH,e197bbaa-2f71-457c-b17e-4021db9496e7,Mumbai,"Official UN/LOCODE lists Christchurch with road and airport functions, but not port function 1. Keep this out of automatic seaport mapping.",https://service.unece.org/trade/locode/nz.htm | https://service.unece.org/trade/locode/Service/LocodeColumn.htm,[]
156,Benline,Sagar Bansode,Johannesburg,JOHANNESBURG,e197bbaa-2f71-457c-b17e-4021db9496e7,Mumbai,"Official UN/LOCODE lists Johannesburg as a non-seaport inland/airport-style location, which matches the existing repo direction of treating Johannesburg as a service location rather than a seaport. Do not force a seaport code here.",https://service.unece.org/trade/locode/za.htm,[]
161,Benline,Sagar Bansode,Lilongwe,LILONGWE,e197bbaa-2f71-457c-b17e-4021db9496e7,Mumbai,"Official UN/LOCODE lists Lilongwe as an inland city/airport-style location, not a seaport. Avoid forcing a seaport mapping without an explicit gateway-port rule.",https://service.unece.org/trade/locode/mw.htm,[]
361,Capeline,Neelesh,Riyadh,RIYADH,a912bb43-81d1-43fd-8a97-5a2f6366cc24,Mumbai,"Official UN/LOCODE lists Riyadh as an airport location (SA RUH) and separately as Riyadh Dry Port (SA RYP), not as a seaport. Keep this out of automatic seaport mapping unless the business explicitly wants dry-port handling.",https://service.unece.org/trade/locode/sa.htm,[]
466,CMA CGM,Sandeep Shinde,Afghanistan,AFGHANISTAN,a062d891-a26c-484c-8551-5f64912aafb7,Mumbai,"This workbook value is a country name, not a transport location. Official UN/LOCODE entries for Afghanistan are location-specific, so the country-only label is too broad to auto-map to a seaport.",https://service.unece.org/trade/locode/af.htm,[]
466,CMA CGM,Sandeep Shinde,Afghanistan,AFGHANISTAN,31e8eb3d-01a8-4b6d-9509-564b008e6e2c,Chennai,"This workbook value is a country name, not a transport location. Official UN/LOCODE entries for Afghanistan are location-specific, so the country-only label is too broad to auto-map to a seaport.",https://service.unece.org/trade/locode/af.htm,[]
486,CMA CGM,Sandeep Shinde,Armenia,ARMENIA,a062d891-a26c-484c-8551-5f64912aafb7,Mumbai,"This workbook value is a country name, not a transport location. Official UN/LOCODE entries for Armenia are location-specific, so the country-only label should stay out of automatic seaport mapping.",https://service.unece.org/trade/locode/am.htm,[]
486,CMA CGM,Sandeep Shinde,Armenia,ARMENIA,31e8eb3d-01a8-4b6d-9509-564b008e6e2c,Chennai,"This workbook value is a country name, not a transport location. Official UN/LOCODE entries for Armenia are location-specific, so the country-only label should stay out of automatic seaport mapping.",https://service.unece.org/trade/locode/am.htm,[]
490,CMA CGM,Sandeep Shinde,Azerbaijan,AZERBAIJAN,a062d891-a26c-484c-8551-5f64912aafb7,Mumbai,"This workbook value is a country name, not a transport location. Official UN/LOCODE entries for Azerbaijan include multiple named locations such as Alat and Baku, so the country-only label is too ambiguous to auto-map.",https://service.unece.org/trade/locode/az.htm,[]
490,CMA CGM,Sandeep Shinde,Azerbaijan,AZERBAIJAN,31e8eb3d-01a8-4b6d-9509-564b008e6e2c,Chennai,"This workbook value is a country name, not a transport location. Official UN/LOCODE entries for Azerbaijan include multiple named locations such as Alat and Baku, so the country-only label is too ambiguous to auto-map.",https://service.unece.org/trade/locode/az.htm,[]
533,CMA CGM,Sandeep Shinde,Blantyre,BLANTYRE,a062d891-a26c-484c-8551-5f64912aafb7,Mumbai,"Official UN/LOCODE lists Blantyre as an airport-style inland location, not a seaport. Avoid forcing a seaport mapping for this workbook label.",https://service.unece.org/trade/locode/mw.htm,[]
533,CMA CGM,Sandeep Shinde,Blantyre,BLANTYRE,31e8eb3d-01a8-4b6d-9509-564b008e6e2c,Chennai,"Official UN/LOCODE lists Blantyre as an airport-style inland location, not a seaport. Avoid forcing a seaport mapping for this workbook label.",https://service.unece.org/trade/locode/mw.htm,[]
553,CMA CGM,Sandeep Shinde,Caishi,CAISHI,a062d891-a26c-484c-8551-5f64912aafb7,Mumbai,Could not confirm a clean one-to-one seaport entry in the official sources checked. Avoid forcing a port-level mapping.,https://service.unece.org/trade/locode/cn.htm,[]
553,CMA CGM,Sandeep Shinde,Caishi,CAISHI,31e8eb3d-01a8-4b6d-9509-564b008e6e2c,Chennai,Could not confirm a clean one-to-one seaport entry in the official sources checked. Avoid forcing a port-level mapping.,https://service.unece.org/trade/locode/cn.htm,[]
555,CMA CGM,Sandeep Shinde,Canton,CANTON,a062d891-a26c-484c-8551-5f64912aafb7,Mumbai,Official UN/LOCODE explicitly treats Canton as an equivalence for Guangzhou Baiyun International Apt rather than a seaport name. Keep this out of automatic seaport mapping.,https://service.unece.org/trade/locode/cn.htm,"[{""code"":""BRSSZ"",""name"":""(BRSSZ) Santos"",""cityName"":""Santos"",""countryName"":""Brazil"",""score"":56,""rationale"":""Alias \""SANTOS\"" is a partial text match.""},{""code"":""CNNTG"",""name"":""(CNNTG) Nantong"",""cityName"":""Nantong"",""countryName"":""China"",""score"":56,""rationale"":""Alias \""NANTONG\"" is a partial text match.""},{""code"":""MMRGN"",""name"":""(MMRGN) Yangon"",""cityName"":""Yangon"",""countryName"":""Myanmar"",""score"":56,""rationale"":""Alias \""YANGON\"" is a partial text match.""}]"
555,CMA CGM,Sandeep Shinde,Canton,CANTON,31e8eb3d-01a8-4b6d-9509-564b008e6e2c,Chennai,Official UN/LOCODE explicitly treats Canton as an equivalence for Guangzhou Baiyun International Apt rather than a seaport name. Keep this out of automatic seaport mapping.,https://service.unece.org/trade/locode/cn.htm,"[{""code"":""BRSSZ"",""name"":""(BRSSZ) Santos"",""cityName"":""Santos"",""countryName"":""Brazil"",""score"":56,""rationale"":""Alias \""SANTOS\"" is a partial text match.""},{""code"":""CNNTG"",""name"":""(CNNTG) Nantong"",""cityName"":""Nantong"",""countryName"":""China"",""score"":56,""rationale"":""Alias \""NANTONG\"" is a partial text match.""},{""code"":""MMRGN"",""name"":""(MMRGN) Yangon"",""cityName"":""Yangon"",""countryName"":""Myanmar"",""score"":56,""rationale"":""Alias \""YANGON\"" is a partial text match.""}]"
556,CMA CGM,Sandeep Shinde,Canton Island,CANTON ISLAND,a062d891-a26c-484c-8551-5f64912aafb7,Mumbai,"Official UN/LOCODE lists Canton Island with airport function only, not port function 1. Keep this out of automatic seaport mapping.",https://service.unece.org/trade/locode/ki.htm | https://service.unece.org/trade/locode/Service/LocodeColumn.htm,[]
